"","fiscal_yr","years_in_care","Movement Rate","Lower Limit","Upper Limit","type"
"1",2000,0,88.868805543003,84.050769474406,133.495609441029,"Transition to Kin"
"4",2001,0,92.692105157807,84.050769474406,133.495609441029,"Transition to Kin"
"7",2002,0,99.659843186395,84.050769474406,133.495609441029,"Transition to Kin"
"10",2003,0,100.978404299829,84.050769474406,133.495609441029,"Transition to Kin"
"13",2004,0,106.25489253315,84.050769474406,133.495609441029,"Transition to Kin"
"16",2005,0,109.851730015492,84.050769474406,133.495609441029,"Transition to Kin"
"19",2006,0,108.764064409003,84.050769474406,133.495609441029,"Transition to Kin"
"22",2007,0,111.532814477462,84.050769474406,133.495609441029,"Transition to Kin"
"25",2008,0,116.443625925923,84.050769474406,133.495609441029,"Transition to Kin"
"28",2009,0,111.188028857101,84.050769474406,133.495609441029,"Transition to Kin"
"31",2010,0,115.283717498531,84.050769474406,133.495609441029,"Transition to Kin"
"34",2011,0,108.776361618249,84.050769474406,133.495609441029,"Transition to Kin"
"37",2012,0,117.484174310616,84.050769474406,133.495609441029,"Transition to Kin"
"40",2013,0,135.046084575485,84.050769474406,133.495609441029,"Transition to Kin"
"43",2014,0,132.889590048013,84.050769474406,133.495609441029,"Transition to Kin"
"2",2000,1,59.07387740158,41.3562483075605,80.9258929554778,"Transition to Kin"
"5",2001,1,50.124740810675,41.3562483075605,80.9258929554778,"Transition to Kin"
"8",2002,1,52.51344094024,41.3562483075605,80.9258929554778,"Transition to Kin"
"11",2003,1,55.534835540891,41.3562483075605,80.9258929554778,"Transition to Kin"
"14",2004,1,50.339855414112,41.3562483075605,80.9258929554778,"Transition to Kin"
"17",2005,1,59.524648135363,41.3562483075605,80.9258929554778,"Transition to Kin"
"20",2006,1,59.485070015683,41.3562483075605,80.9258929554778,"Transition to Kin"
"23",2007,1,56.276926460151,41.3562483075605,80.9258929554778,"Transition to Kin"
"26",2008,1,59.620740898938,41.3562483075605,80.9258929554778,"Transition to Kin"
"29",2009,1,63.776532159075,41.3562483075605,80.9258929554778,"Transition to Kin"
"32",2010,1,64.709542097954,41.3562483075605,80.9258929554778,"Transition to Kin"
"35",2011,1,81.905170758159,41.3562483075605,80.9258929554778,"Transition to Kin"
"38",2012,1,70.775426166469,41.3562483075605,80.9258929554778,"Transition to Kin"
"41",2013,1,72.314182041978,41.3562483075605,80.9258929554778,"Transition to Kin"
"44",2014,1,73.594417727129,41.3562483075605,80.9258929554778,"Transition to Kin"
"3",2000,2,37.825221685887,23.7986435366995,64.5270476500292,"Transition to Kin"
"6",2001,2,35.703955455925,23.7986435366995,64.5270476500292,"Transition to Kin"
"9",2002,2,36.932220785969,23.7986435366995,64.5270476500292,"Transition to Kin"
"12",2003,2,38.12267028126,23.7986435366995,64.5270476500292,"Transition to Kin"
"15",2004,2,34.251152843681,23.7986435366995,64.5270476500292,"Transition to Kin"
"18",2005,2,40.827347842523,23.7986435366995,64.5270476500292,"Transition to Kin"
"21",2006,2,41.361775636697,23.7986435366995,64.5270476500292,"Transition to Kin"
"24",2007,2,35.349375933091,23.7986435366995,64.5270476500292,"Transition to Kin"
"27",2008,2,43.127537982923,23.7986435366995,64.5270476500292,"Transition to Kin"
"30",2009,2,55.185728805797,23.7986435366995,64.5270476500292,"Transition to Kin"
"33",2010,2,46.72076076283,23.7986435366995,64.5270476500292,"Transition to Kin"
"36",2011,2,55.107684405024,23.7986435366995,64.5270476500292,"Transition to Kin"
"39",2012,2,58.826243425302,23.7986435366995,64.5270476500292,"Transition to Kin"
"42",2013,2,58.938162460192,23.7986435366995,64.5270476500292,"Transition to Kin"
"45",2014,2,47.401293776488,23.7986435366995,64.5270476500292,"Transition to Kin"
"110",2000,0,68.177674189993,35.2632468035596,65.3981778012795,"Transition to Group"
"46",2001,0,64.053016188783,35.2632468035596,65.3981778012795,"Transition to Group"
"71",2002,0,54.697030213928,35.2632468035596,65.3981778012795,"Transition to Group"
"101",2003,0,52.86279810756,35.2632468035596,65.3981778012795,"Transition to Group"
"131",2004,0,51.418784943117,35.2632468035596,65.3981778012795,"Transition to Group"
"161",2005,0,47.537739143932,35.2632468035596,65.3981778012795,"Transition to Group"
"191",2006,0,46.034372797387,35.2632468035596,65.3981778012795,"Transition to Group"
"221",2007,0,47.03106775898,35.2632468035596,65.3981778012795,"Transition to Group"
"251",2008,0,47.363266250851,35.2632468035596,65.3981778012795,"Transition to Group"
"281",2009,0,47.673771277085,35.2632468035596,65.3981778012795,"Transition to Group"
"311",2010,0,47.650603232726,35.2632468035596,65.3981778012795,"Transition to Group"
"341",2011,0,42.484785853714,35.2632468035596,65.3981778012795,"Transition to Group"
"371",2012,0,40.303598687114,35.2632468035596,65.3981778012795,"Transition to Group"
"401",2013,0,47.341463588704,35.2632468035596,65.3981778012795,"Transition to Group"
"431",2014,0,47.189662327697,35.2632468035596,65.3981778012795,"Transition to Group"
"210",2000,1,51.673413639184,32.5678092802134,49.0989870542555,"Transition to Group"
"51",2001,1,46.698492704629,32.5678092802134,49.0989870542555,"Transition to Group"
"81",2002,1,41.677334079556,32.5678092802134,49.0989870542555,"Transition to Group"
"111",2003,1,38.231349940782,32.5678092802134,49.0989870542555,"Transition to Group"
"141",2004,1,40.026324060977,32.5678092802134,49.0989870542555,"Transition to Group"
"171",2005,1,41.209371786021,32.5678092802134,49.0989870542555,"Transition to Group"
"201",2006,1,40.717640176786,32.5678092802134,49.0989870542555,"Transition to Group"
"231",2007,1,30.487500124948,32.5678092802134,49.0989870542555,"Transition to Group"
"261",2008,1,38.461804659514,32.5678092802134,49.0989870542555,"Transition to Group"
"291",2009,1,40.808434312842,32.5678092802134,49.0989870542555,"Transition to Group"
"321",2010,1,40.295800048827,32.5678092802134,49.0989870542555,"Transition to Group"
"351",2011,1,43.776901612119,32.5678092802134,49.0989870542555,"Transition to Group"
"381",2012,1,37.34318385967,32.5678092802134,49.0989870542555,"Transition to Group"
"411",2013,1,40.260023335427,32.5678092802134,49.0989870542555,"Transition to Group"
"441",2014,1,37.449011274996,32.5678092802134,49.0989870542555,"Transition to Group"
"310",2000,2,56.73783252883,32.4561563745078,72.441510649597,"Transition to Group"
"61",2001,2,71.859859715091,32.4561563745078,72.441510649597,"Transition to Group"
"91",2002,2,60.981108739623,32.4561563745078,72.441510649597,"Transition to Group"
"121",2003,2,45.182424037049,32.4561563745078,72.441510649597,"Transition to Group"
"151",2004,2,44.275880505246,32.4561563745078,72.441510649597,"Transition to Group"
"181",2005,2,37.587082140735,32.4561563745078,72.441510649597,"Transition to Group"
"211",2006,2,50.282942930887,32.4561563745078,72.441510649597,"Transition to Group"
"241",2007,2,41.366290985533,32.4561563745078,72.441510649597,"Transition to Group"
"271",2008,2,46.519591532142,32.4561563745078,72.441510649597,"Transition to Group"
"301",2009,2,51.726324910508,32.4561563745078,72.441510649597,"Transition to Group"
"331",2010,2,52.715902630626,32.4561563745078,72.441510649597,"Transition to Group"
"361",2011,2,55.357040443055,32.4561563745078,72.441510649597,"Transition to Group"
"391",2012,2,69.784073082956,32.4561563745078,72.441510649597,"Transition to Group"
"421",2013,2,49.907314986453,32.4561563745078,72.441510649597,"Transition to Group"
"451",2014,2,48.795449475797,32.4561563745078,72.441510649597,"Transition to Group"
"112",2000,0,316.391974060773,163.440415073823,332.071225605641,"Transition to Foster"
"47",2001,0,320.342067742223,163.440415073823,332.071225605641,"Transition to Foster"
"72",2002,0,289.168056625332,163.440415073823,332.071225605641,"Transition to Foster"
"102",2003,0,261.417398860673,163.440415073823,332.071225605641,"Transition to Foster"
"132",2004,0,256.617088997413,163.440415073823,332.071225605641,"Transition to Foster"
"162",2005,0,262.688919602265,163.440415073823,332.071225605641,"Transition to Foster"
"192",2006,0,249.381958856866,163.440415073823,332.071225605641,"Transition to Foster"
"222",2007,0,239.488067176857,163.440415073823,332.071225605641,"Transition to Foster"
"252",2008,0,226.100660156777,163.440415073823,332.071225605641,"Transition to Foster"
"282",2009,0,208.820256935734,163.440415073823,332.071225605641,"Transition to Foster"
"312",2010,0,203.667900914071,163.440415073823,332.071225605641,"Transition to Foster"
"342",2011,0,204.386267080032,163.440415073823,332.071225605641,"Transition to Foster"
"372",2012,0,214.734963045516,163.440415073823,332.071225605641,"Transition to Foster"
"402",2013,0,215.375904701713,163.440415073823,332.071225605641,"Transition to Foster"
"432",2014,0,230.915720138316,163.440415073823,332.071225605641,"Transition to Foster"
"212",2000,1,191.633061636774,93.9118185662483,213.382184058012,"Transition to Foster"
"52",2001,1,188.189849676536,93.9118185662483,213.382184058012,"Transition to Foster"
"82",2002,1,183.499348047416,93.9118185662483,213.382184058012,"Transition to Foster"
"113",2003,1,172.684109671362,93.9118185662483,213.382184058012,"Transition to Foster"
"142",2004,1,153.597949080622,93.9118185662483,213.382184058012,"Transition to Foster"
"172",2005,1,168.007438819932,93.9118185662483,213.382184058012,"Transition to Foster"
"202",2006,1,165.833839102763,93.9118185662483,213.382184058012,"Transition to Foster"
"232",2007,1,132.345738247318,93.9118185662483,213.382184058012,"Transition to Foster"
"262",2008,1,137.928579691573,93.9118185662483,213.382184058012,"Transition to Foster"
"292",2009,1,136.740303456645,93.9118185662483,213.382184058012,"Transition to Foster"
"322",2010,1,122.199966923317,93.9118185662483,213.382184058012,"Transition to Foster"
"352",2011,1,146.582012494775,93.9118185662483,213.382184058012,"Transition to Foster"
"382",2012,1,125.907086121456,93.9118185662483,213.382184058012,"Transition to Foster"
"412",2013,1,125.90873539933,93.9118185662483,213.382184058012,"Transition to Foster"
"442",2014,1,123.486929584007,93.9118185662483,213.382184058012,"Transition to Foster"
"313",2000,2,153.664963098917,87.1510873881562,185.94638585825,"Transition to Foster"
"62",2001,2,155.470388314411,87.1510873881562,185.94638585825,"Transition to Foster"
"92",2002,2,179.078326369176,87.1510873881562,185.94638585825,"Transition to Foster"
"122",2003,2,166.811895886785,87.1510873881562,185.94638585825,"Transition to Foster"
"152",2004,2,136.169217402927,87.1510873881562,185.94638585825,"Transition to Foster"
"182",2005,2,142.571690878652,87.1510873881562,185.94638585825,"Transition to Foster"
"213",2006,2,142.738676707034,87.1510873881562,185.94638585825,"Transition to Foster"
"242",2007,2,120.338301048823,87.1510873881562,185.94638585825,"Transition to Foster"
"272",2008,2,114.522188876002,87.1510873881562,185.94638585825,"Transition to Foster"
"302",2009,2,121.902803929223,87.1510873881562,185.94638585825,"Transition to Foster"
"332",2010,2,120.936482505555,87.1510873881562,185.94638585825,"Transition to Foster"
"362",2011,2,120.189610331319,87.1510873881562,185.94638585825,"Transition to Foster"
"392",2012,2,126.303405001384,87.1510873881562,185.94638585825,"Transition to Foster"
"422",2013,2,110.984362374637,87.1510873881562,185.94638585825,"Transition to Foster"
"452",2014,2,108.97650382928,87.1510873881562,185.94638585825,"Transition to Foster"
